name,temp,humidity,cloudiness,wind_speed,lat,long
kattivakkam,93.52,37,75,6.93,13.22,80.32
mega,80.51,50,79,23.09,4.06,38.32
staryy nadym,81.23,49,66,15.3,65.61,72.68
coihaique,37.94,80,90,8.05,-45.58,-72.07
avera,72.64,94,1,4.7,33.19,-82.53
nikolskoye,77.13,53,75,13.42,59.7,30.79
hilo,70.03,88,90,6.93,19.71,-155.08
saldanha,73.31,58,98,3.83,41.42,-6.55
airai,75.47,80,72,2.98,-8.93,125.41
balkhash,80.6,24,0,11.18,46.84,74.98
komsomolskiy,73.49,56,97,21.3,67.55,63.78
greenwood,51.01,78,0,4.0,49.09,-118.68
ludza,75.47,52,16,17.43,56.55,27.72
saint andrews,42.01,45,1,6.31,-44.53,171.19
pacifica,54.7,93,90,6.93,37.61,-122.49
tourlaville,61.39,77,0,13.87,49.64,-1.57
botou,97.07,15,0,5.53,38.08,116.55
basco,72.61,88,1,4.7,40.33,-91.2
parrita,67.91,83,20,6.93,9.52,-84.33
broome,64.33,59,40,16.11,52.47,1.45
avarua,71.6,56,100,12.75,-21.21,-159.78
takoradi,81.95,74,25,2.93,4.89,-1.75
kijang,75.2,83,100,8.05,35.24,129.21
qasigiannguit,39.2,86,75,4.7,68.82,-51.19
nanortalik,34.43,87,71,7.96,60.14,-45.24
narsaq,46.4,75,50,2.24,60.91,-46.05
griffith,43.54,87,100,5.82,-34.29,146.06
gimli,55.45,81,11,9.98,50.63,-96.99
cockburn town,81.23,81,80,16.15,21.46,-71.14
begles,74.26,73,90,5.82,44.81,-0.55
chokurdakh,52.97,59,25,11.01,70.62,147.9
jutai,70.43,99,70,1.23,-1.71,-47.89
mweka,90.05,20,5,5.14,-4.85,21.56
lhokseumawe,83.93,66,93,5.66,5.18,97.15
vardo,58.64,87,1,3.36,39.62,-77.74
eureka,54.81,93,75,1.95,40.8,-124.16
half moon bay,54.43,93,90,6.93,37.46,-122.43
clinton,61.54,88,1,5.82,41.28,-72.53
necochea,34.0,87,0,7.0,-38.55,-58.74
tornio,74.75,50,40,18.34,61.12,27.27
abu dhabi,113.0,10,0,14.99,24.47,54.37
bethel,52.25,81,90,4.07,60.79,-161.76
baryshivka,87.8,45,0,8.95,50.36,31.33
rawson,34.79,58,94,14.63,-43.3,-65.11
buala,79.25,83,58,5.5,-8.15,159.59
leninskoye,69.8,43,75,6.71,54.82,82.85
leningradskiy,39.83,96,100,3.8,69.38,178.42
broadford,48.2,66,0,21.92,-37.2,145.05
nyurba,75.29,61,57,2.71,63.29,118.35
mataura,44.01,90,0,3.0,-46.19,168.86
vestmannaeyjar,48.2,76,40,6.93,63.44,-20.27
celestun,78.53,81,77,15.57,20.87,-90.4
ayan,55.85,53,71,8.39,38.23,44.7
dhidhdhoo,83.75,75,100,13.6,6.88,73.1
amahai,81.0,94,98,11.79,-3.31,129.0
gbadolite,80.33,86,36,6.71,4.28,21.0
cradock,50.27,47,61,23.89,-32.16,25.62
kalianget,87.8,40,20,10.29,-7.35,109.91
hobart,56.62,47,20,21.92,-42.88,147.33
botwood,49.71,100,90,8.05,49.14,-55.34
presidencia roque saenz pena,52.97,85,100,7.76,-26.79,-60.44
hami,95.81,13,87,11.32,42.84,93.51
bagdarin,73.85,42,93,6.53,54.44,113.59
san jose el vidrio,55.92,81,40,1.79,19.65,-99.38
vao,72.05,50,0,16.71,59.1,26.19
gornopravdinsk,82.67,37,43,8.41,60.06,69.92
bilibino,38.57,94,100,5.1,68.06,166.44
neuquen,30.2,92,0,5.82,-38.95,-68.06
anadyr,57.11,76,0,13.42,64.73,177.51
ust-omchug,59.27,43,93,2.08,61.13,149.63
barranca,63.05,90,100,15.66,-10.75,-77.76
codrington,60.15,87,75,0.83,-28.95,153.24
cherskiy,39.11,93,100,3.8,68.75,161.3
mogadishu,86.0,62,7,13.87,2.04,45.34
colac,47.16,84,76,5.99,-38.34,143.59
busselton,56.62,52,66,11.45,-33.64,115.35
jasper,71.15,100,1,0.4,33.83,-87.28
letlhakane,72.41,19,0,10.4,-21.42,25.59
berlevag,56.39,58,0,16.11,70.86,29.09
hermanus,55.56,98,17,8.99,-34.42,19.24
los llanos de aridane,69.57,69,75,18.34,28.66,-17.92
nakamura,77.36,88,75,8.05,35.17,136.87
lilongwe,75.2,69,40,9.17,-13.97,33.79
naryan-mar,53.87,66,100,9.78,67.67,53.09
tsumeb,57.2,35,0,9.17,-19.25,17.72
yenagoa,81.05,79,100,4.36,4.92,6.26
naze,80.69,80,99,6.2,5.43,7.07
elkton,59.79,68,1,6.22,39.61,-75.83
zambezi,77.81,22,0,5.06,-13.55,23.12
baykit,85.73,30,100,3.44,61.68,96.39
tucurui,70.61,92,100,1.12,-3.77,-49.67
southern pines,74.44,78,20,6.02,35.17,-79.39
kahului,73.06,100,90,6.93,20.89,-156.47
christchurch,46.27,81,68,2.24,-43.53,172.64
sobolevo,76.73,74,67,14.05,54.43,31.9
ust-ilimsk,94.19,20,30,6.73,57.96,102.73
bud,52.11,87,75,9.17,62.91,6.91
cidreira,54.59,80,100,7.09,-30.17,-50.22
mitsamiouli,78.89,74,0,23.4,-11.38,43.28
ulladulla,46.72,76,0,2.24,-35.36,150.48
mar del plata,39.11,59,100,31.16,-46.43,-67.52
vaini,80.6,74,75,16.11,15.34,74.49
novosokolniki,80.87,45,55,14.03,56.35,30.15
abatskoye,70.43,66,0,12.12,56.29,70.46
keti bandar,84.83,86,100,13.69,24.14,67.45
sete lagoas,55.99,100,0,1.12,-19.47,-44.25
shujaabad,102.2,48,0,11.41,29.88,71.29
abu kamal,93.11,13,0,16.98,34.45,40.92
foam lake,51.89,89,0,9.17,51.65,-103.53
duekoue,76.19,89,59,2.1,6.74,-7.35
hornepayne,57.65,70,87,10.42,49.22,-84.78
plettenberg bay,56.57,67,100,19.33,-34.05,23.37
nishihara,74.64,94,90,6.93,35.74,139.53
catia la mar,71.04,83,40,2.55,10.6,-67.03
khatanga,60.71,34,0,10.2,71.98,102.47
lavrentiya,47.21,85,28,7.7,65.58,-170.99
kaitangata,46.0,74,0,3.0,-46.28,169.85
pacific grove,53.67,87,90,3.36,36.62,-121.92
waitara,51.64,82,100,7.0,-39.0,174.24
chuy,47.03,76,0,15.52,-33.69,-53.46
longyearbyen,44.6,81,75,18.34,78.22,15.63
ughelli,81.41,80,96,4.12,5.49,6.0
banka,101.21,37,68,12.82,24.88,86.92
georgetown,75.2,100,75,2.24,6.8,-58.16
oranjemund,56.39,81,0,9.84,-28.55,16.43
litovko,73.85,63,16,3.78,49.24,135.18
east london,73.4,33,0,16.11,-33.02,27.91
port augusta,51.03,54,100,8.05,-32.49,137.76
iqaluit,35.28,93,90,8.05,63.75,-68.52
emerald,61.79,55,67,5.82,-23.53,148.16
ruidoso,64.76,24,1,0.92,33.33,-105.67
isiolo,83.21,41,8,10.2,0.35,37.58
kruisfontein,59.45,54,66,18.39,-34.0,24.73
grindavik,47.46,65,40,13.87,63.84,-22.43
punta arenas,33.4,93,0,16.11,-53.16,-70.91
saskylakh,45.95,55,100,13.51,71.97,114.09
altay,65.39,32,2,8.55,47.83,88.13
yerbogachen,90.59,26,36,2.55,61.28,108.01
mugur-aksy,43.43,67,71,9.95,50.38,90.44
tommot,69.71,56,90,5.64,58.97,126.27
katherine,77.0,36,31,8.05,-14.47,132.26
marzuq,97.25,12,61,9.93,14.4,46.47
quetigny,84.13,48,0,10.29,47.31,5.12
pueblo nuevo,33.8,86,0,2.24,-32.93,-68.73
balagunan,83.25,79,75,5.82,7.49,125.52
lagoa,73.45,53,0,6.93,37.14,-8.45
ilo,61.43,82,0,6.49,-17.65,-71.34
brae,51.8,81,75,21.92,60.4,-1.35
kangaatsiaq,38.75,86,33,7.7,68.31,-53.46
saint george,86.23,35,20,12.75,39.45,22.34
kirakira,77.99,84,100,13.49,-10.46,161.92
iwanai,63.59,91,86,4.72,42.97,140.51
qandala,92.39,52,1,13.27,11.47,49.87
amantea,87.93,48,0,5.82,39.13,16.07
milkovo,82.11,37,0,3.36,41.53,24.68
lafia,77.27,88,100,4.81,8.5,8.51
shubarshi,65.03,68,100,16.64,48.59,57.19
banda aceh,84.65,74,1,19.82,5.56,95.32
pori,62.6,59,0,14.99,61.49,21.79
wenling,79.68,85,100,2.77,28.38,121.38
north branch,67.26,100,90,4.47,45.51,-92.98
port-cartier,49.87,93,20,3.36,50.03,-66.88
amambai,65.75,75,13,5.3,-23.11,-55.23
mogilno,73.85,43,40,14.99,52.66,17.95
itarema,71.87,92,0,5.61,-2.92,-39.92
gumdag,86.09,35,25,11.48,39.2,54.59
ushuaia,33.8,74,75,4.7,-54.81,-68.31
buraydah,105.8,18,0,6.93,26.33,43.97
piracanjuba,60.71,70,0,4.79,-17.3,-49.02
tereze,75.04,25,33,22.37,43.94,42.44
bambanglipuro,76.91,78,0,13.67,-7.95,110.28
kyren,59.27,51,47,6.24,51.68,102.13
ribera,86.83,39,0,4.0,37.5,13.27
macas,42.53,95,67,4.07,-2.3,-78.12
yellowknife,39.11,86,75,12.75,62.45,-114.38
puerto ayora,69.35,82,67,10.69,-0.74,-90.35
port blair,83.75,81,100,22.93,11.67,92.75
saint anthony,52.83,81,1,4.7,43.97,-111.68
bluff,65.57,54,62,8.16,-23.58,149.07
riverton,55.22,81,1,11.41,43.02,-108.38
sisimiut,36.77,88,76,1.97,66.94,-53.67
labuhan,89.15,51,0,0.92,-2.54,115.51
faanui,76.55,81,100,28.19,-16.48,-151.75
bahia honda,81.23,72,68,3.33,22.9,-83.16
provideniya,43.97,97,100,15.28,64.42,-173.23
kota tinggi,88.36,62,75,12.75,1.73,103.9
tekirdag,84.07,39,0,11.41,40.98,27.51
upernavik,38.75,83,69,3.89,72.79,-56.15
clearwater,79.2,83,75,11.16,27.97,-82.8
stromness,56.84,93,1,3.29,42.87,-79.55
maragogi,70.43,95,34,3.15,-9.01,-35.22
dawlatabad,102.47,9,0,9.84,36.41,64.91
dangriga,75.99,100,99,1.81,16.97,-88.23
chon daen,87.8,55,40,6.93,16.19,100.86
qaqortoq,46.4,75,50,2.24,60.72,-46.03
gorgan,84.2,66,90,10.74,36.84,54.43
yaan,80.51,80,99,7.38,7.38,8.57
myaundzha,63.59,36,78,8.01,63.05,147.18
the valley,80.87,78,40,8.05,18.22,-63.06
conde,65.21,96,21,1.16,-11.81,-37.61
biu,81.95,71,66,11.7,10.61,12.19
rovaniemi,48.2,93,75,10.29,66.5,25.72
moyale,71.33,76,99,10.22,3.52,39.05
severo-kurilsk,44.33,93,0,12.33,50.68,156.12
ostrovnoy,56.93,43,22,6.67,68.05,39.51
rocha,41.63,80,0,12.55,-34.48,-54.34
koryukivka,81.95,56,0,11.39,51.77,32.25
bulgan,63.77,59,92,5.48,48.81,103.53
cordoba,37.67,80,6,1.48,-27.78,-67.24
salalah,86.0,79,75,13.87,17.01,54.1
ambon,64.49,77,90,8.05,47.55,-2.56
manjacaze,79.43,47,0,11.07,-24.71,33.88
pisco,63.28,88,90,12.75,-13.71,-76.2
imbituba,66.2,72,75,8.05,-28.24,-48.67
inzer,70.25,68,97,4.88,54.22,57.56
cape town,60.28,67,40,4.7,-33.93,18.42
bukama,86.99,23,0,3.51,-9.2,25.85
genhe,75.83,35,73,7.45,50.78,121.52
qaanaaq,49.73,42,5,6.76,77.48,-69.36
nome,72.55,100,1,3.69,30.04,-94.42
caravelas,70.43,95,24,6.26,-17.73,-39.27
fredericton,56.84,93,90,12.75,45.97,-66.65
port alfred,66.0,54,83,7.0,-33.59,26.89
kungurtug,70.43,40,59,14.58,50.6,97.53
karratha,78.53,24,15,9.51,-20.74,116.85
najran,102.2,13,40,18.34,17.54,44.22
suez,91.13,37,0,10.87,29.97,32.54
arlit,100.13,15,6,4.74,18.74,7.39
khalkhal,60.35,64,75,11.45,37.62,48.53
aleksandrov gay,68.45,50,100,5.28,50.14,48.57
jumla,73.13,44,33,8.79,29.28,82.18
baiyin,77.0,38,20,4.47,36.55,104.13
ponta do sol,57.11,74,0,2.28,-20.63,-46.0
arman,52.43,86,63,6.71,59.7,150.17
calabar,82.31,77,100,3.85,4.98,8.34
paamiut,37.13,91,0,9.62,61.99,-49.67
terdal,84.83,59,100,19.66,16.49,75.05
collie,56.91,52,7,3.44,-33.36,116.15
kargil,56.39,25,43,8.57,34.56,76.13
klaksvik,46.4,75,75,13.87,62.23,-6.59
mount isa,60.8,38,0,11.45,-20.73,139.49
mayo,66.2,52,75,9.17,63.59,-135.9
portree,52.0,82,83,11.01,57.41,-6.19
carutapera,71.15,95,26,2.33,-1.2,-46.02
ovalle,46.67,79,0,4.68,-30.6,-71.2
atasu,84.83,26,0,9.46,48.68,71.64
husavik,55.44,81,100,11.23,50.56,-96.99
amnat charoen,87.89,60,100,13.76,15.86,104.63
charters towers,71.51,46,100,5.99,-20.07,146.27
chernyshevskiy,89.15,27,22,5.53,63.01,112.47
matara,63.05,56,1,6.42,-3.48,29.48
atuona,80.69,74,52,13.53,-9.8,-139.03
chongqing,91.4,46,20,4.47,29.56,106.55
port hardy,50.0,93,20,2.24,50.7,-127.42
greenville,70.11,78,1,4.27,34.85,-82.4
andalan,81.41,78,84,8.05,5.96,121.39
huarmey,63.59,91,100,14.43,-10.07,-78.15
sorland,46.4,87,75,14.99,67.67,12.69
shatki,64.85,61,59,9.98,55.19,44.12
saint-francois,84.42,65,0,11.41,46.42,3.91
cukai,89.78,79,75,8.05,4.25,103.42
tasiilaq,42.8,81,100,5.82,65.61,-37.64
manaure,78.17,85,79,16.84,11.78,-72.45
svetlogorsk,73.4,46,75,2.24,53.14,59.15
tilichiki,49.19,87,100,6.13,60.47,166.1
taoudenni,99.77,18,0,5.53,22.68,-3.98
jacksonville,75.18,100,40,4.7,30.33,-81.66
killarney,53.01,88,86,1.99,-28.34,152.3
torbay,50.09,100,90,3.36,47.66,-52.73
urupes,62.6,77,0,5.08,-21.2,-49.29
tezu,96.35,46,5,2.59,27.93,96.16
walvis bay,62.64,52,0,12.75,-22.95,14.51
arraial do cabo,64.35,93,0,3.36,-22.97,-42.02
kharp,66.47,79,100,9.98,66.82,65.8
kawalu,74.21,72,20,6.8,-7.38,108.21
lebu,66.2,59,90,2.24,8.96,38.73
lensk,82.13,42,63,4.45,60.71,114.91
san patricio,54.05,93,100,10.29,-26.98,-56.83
roald,53.01,93,75,10.29,62.58,6.12
paraiba do sul,55.85,91,0,3.29,-22.16,-43.29
yumen,93.65,9,55,10.94,40.29,97.04
coquimbo,44.6,81,0,4.7,-29.95,-71.34
victoria,84.78,74,75,3.36,5.28,115.24
padang,84.47,65,0,5.73,-0.92,100.36
luderitz,60.8,77,62,5.82,-26.65,15.16
isangel,69.8,94,0,4.29,-19.55,169.27
vila do maio,72.59,78,49,12.1,15.13,-23.22
bathsheba,82.4,74,40,21.92,13.22,-59.52
hanzhong,90.41,34,0,0.51,33.08,107.03
parana,70.07,90,0,0.69,-7.52,-72.89
sehithwa,70.07,18,0,7.81,-20.47,22.7
meadow lake,55.13,84,0,8.37,54.13,-108.44
udachnyy,71.6,35,75,6.71,66.42,112.4
portland,57.15,87,1,3.36,43.66,-70.25
clyde river,46.4,45,1,4.7,70.47,-68.59
port keats,82.49,44,22,8.95,-14.25,129.55
monrovia,80.6,94,75,8.84,6.33,-10.8
honiara,78.8,88,40,3.36,-9.43,159.96
tromso,48.79,62,75,20.8,69.65,18.96
bereda,63.27,82,75,6.93,43.27,-7.54
alofi,75.2,83,9,12.75,-19.06,-169.92
tomatlan,76.19,78,11,4.27,19.93,-105.25
saint-philippe,61.02,93,40,3.09,45.36,-73.48
fort nelson,48.2,93,75,3.36,58.81,-122.69
flinders,52.56,76,0,2.24,-34.58,150.85
menongue,76.55,20,0,3.58,-14.66,17.68
anito,85.19,66,100,1.57,12.45,125.29
acapulco,80.6,78,5,2.24,16.86,-99.88
chara,86.25,35,20,12.75,39.42,22.43
hamina,76.19,50,40,18.34,60.57,27.2
quatre cocos,75.11,60,40,12.75,-20.21,57.76
booue,84.65,59,18,3.31,-0.09,11.94
barrow,32.45,70,0,8.95,-38.31,-60.23
adilcevaz,69.8,43,20,13.87,38.8,42.73
olindina,63.59,95,21,3.83,-11.36,-38.33
bowen,64.13,88,0,6.93,-20.01,148.25
lanxi,86.0,99,56,5.01,29.21,119.46
san cristobal,64.85,96,92,3.89,14.68,-86.92
pochutla,79.0,79,73,4.94,15.74,-96.47
saint-joseph,87.08,55,0,8.05,43.56,6.97
yar-sale,77.99,52,100,16.44,66.83,70.83
san jose del palmar,71.15,96,99,0.54,4.97,-76.23
vila velha,75.81,78,75,10.29,-3.71,-38.6
kharan,108.23,4,0,3.8,28.58,65.42
vostok,54.95,99,100,2.01,46.45,135.83
sumbe,68.0,81,90,6.93,-11.2,13.84
fuyang,93.83,27,0,10.67,32.89,115.81
kot diji,104.0,45,0,11.41,27.34,68.71
denpasar,80.6,83,75,13.87,-8.65,115.22
tuktoyaktuk,40.91,74,59,18.75,69.44,-133.03
sitka,69.53,79,1,9.33,37.17,-99.65
falun,69.15,49,7,16.11,60.61,15.63
skjervoy,52.81,62,75,27.51,70.03,20.97
somerville,61.3,68,1,6.76,40.57,-74.61
yulara,66.2,22,0,2.24,-25.24,130.99
edgewater,74.53,94,40,4.52,28.99,-80.9
mezen,56.93,43,0,4.21,65.85,44.24
dongfeng,68.81,74,40,7.45,42.67,125.53
henderson,80.28,13,1,6.93,36.04,-114.98
mount gambier,58.01,74,97,32.77,-37.83,140.78
bani walid,82.31,31,0,6.73,31.76,14.0
katsuura,74.91,94,75,8.05,33.93,134.5
high level,44.6,87,1,9.6,58.52,-117.13
mehamn,56.39,58,0,16.11,71.03,27.85
calama,48.2,23,0,9.17,-22.46,-68.93
mae tha,90.63,49,75,8.05,18.46,99.14
deputatskiy,58.01,59,100,6.04,69.3,139.9
malanje,77.99,23,0,7.9,-9.54,16.35
progreso,45.75,65,20,9.17,-34.68,-56.22
norden,70.02,60,40,16.11,53.59,7.21
varzea grande,52.52,87,90,4.7,-29.42,-50.86
shintomi,73.4,88,75,3.36,32.08,131.47
tazovskiy,60.89,43,59,8.08,67.47,78.7
hualmay,63.05,90,100,15.66,-11.1,-77.61
bambous virieux,75.09,60,40,12.75,-20.34,57.76
castro,41.0,93,90,11.41,-42.48,-73.76
tahe,63.95,83,100,1.99,52.34,124.71
ocampo,68.45,54,10,2.68,27.32,-102.4
bogatyye saby,67.37,53,0,7.83,56.01,50.45
lorengau,79.61,80,100,2.95,-2.02,147.27
cordele,74.19,94,1,7.4,31.96,-83.78
kodiak,71.96,69,1,5.82,39.95,-94.76
samarai,69.89,84,28,4.21,-10.62,150.67
cayenne,73.4,100,18,2.24,4.94,-52.33
consett,62.76,77,40,19.46,54.85,-1.83
ipixuna,75.2,94,0,4.7,-1.76,-48.8
